meter_id,reading_date,reading_value,unit
SMT-AZR-161,2026-07-21,20351.39,kWh
SMT-AZR-163,2026-07-21,17699.40,kWh
SMT-AZR-165,2026-07-21,36175.91,kWh
SMT-AZR-167,2026-07-21,13351.28,kWh
SMT-AZR-169,2026-07-21,44497.03,kWh
SMT-AZR-171,2026-07-21,11592.84,kWh
SMT-AZR-173,2026-07-21,13028.59,kWh
SMT-AZR-175,2026-07-21,44379.83,kWh
SMT-AZR-177,2026-07-21,11179.00,kWh
SMT-AZR-179,2026-07-21,10562.00,kWh
SMT-AZR-181,2026-07-21,27540.90,kWh
SMT-AZR-183,2026-07-21,3248.11,kWh
SMT-AZR-185,2026-07-21,35014.42,kWh
SMT-AZR-187,2026-07-21,37648.95,kWh
SMT-AZR-189,2026-07-21,6494.92,kWh
SMT-AZR-191,2026-07-21,36414.60,kWh
